is_sarcastic,headline,article_link
0,Pak web series ‘Dhoop Ki Deewar’ is a cross-border love story,https://www.canindia.com/pak-web-series-dhoop-ki-deewar-is-a-cross-border-love-story/
0,"Deepika turns 35, says journey has been nothing short of incredible",https://www.canindia.com/deepika-turns-35-says-journey-has-been-nothing-short-of-incredible/
0,Esha Gupta looks drop-dead gorgeous in monochrome pic,https://www.canindia.com/esha-gupta-looks-drop-dead-gorgeous-in-monochrome-pic/
0,Sonu Sood’s new film ‘Kisaan’ announced amid farmers’ protest,https://www.canindia.com/sonu-soods-new-film-kisaan-announced-amid-farmers-protest/
0,"Kiara Advani’s New Year mantra is to ‘swim, sleep, hydrate, eat & repeat’",https://www.canindia.com/kiara-advanis-new-year-mantra-is-to-swim-sleep-hydrate-eat-repeat/
0,How Dua Lipa’s new album Future Nostalgia changed her life,https://www.canindia.com/how-dua-lipas-new-album-future-nostalgia-changed-her-life/
0,Veteran talk show host Larry King hospitalised after testing positive for Covid-19,https://www.canindia.com/veteran-talk-show-host-larry-king-hospitalised-after-testing-positive-for-covid-19/
0,Hollywood’s ‘Queen of Hammer’ Barbara Shelley passes away at 88,https://www.canindia.com/hollywoods-queen-of-hammer-barbara-shelley-passes-away-at-88/
0,Japanese lensman Tetsuo Nagata joins Kangana Ranaut’s ‘Dhaakad’ crew,https://www.canindia.com/japanese-lensman-tetsuo-nagata-joins-kangana-ranauts-dhaakad-crew/
0,Why Russell Brand’s wife finds his energy levels exhausting,https://www.canindia.com/why-russell-brands-wife-finds-his-energy-levels-exhausting/
0,Salman Khan drops first look of ‘Antim’,https://www.canindia.com/salman-khan-drops-first-look-of-antim/
0,Why Kristen Wiig didn’t bulk up to play supervillain Cheetah in ‘Wonder Woman 1984’,https://www.canindia.com/why-kristen-wiig-didnt-bulk-up-to-play-supervillain-cheetah-in-wonder-woman-1984/
0,Ariana Grande announces engagement to boyfriend Dalton Gomez,https://www.canindia.com/ariana-grande-announces-engagement-to-boyfriend-dalton-gomez/
0,Priyanka Chopra ‘beyond honoured’ to present Warren Buffett with 2020 Global Citizen Prize,https://www.canindia.com/priyanka-chopra-beyond-honoured-to-present-warren-buffett-with-2020-global-citizen-prize/
0,"Mom-to-be Kareena Kapoor Khan turns author, to pen her own Pregnancy Bible",https://www.canindia.com/mom-to-be-kareena-kapoor-khan-turns-author-to-pen-her-own-pregnancy-bible/
0,"2020 is the gift that keeps on giving, says Pink after fracturing her ankle",https://www.canindia.com/2020-is-the-gift-that-keeps-on-giving-says-pink-after-fracturing-her-ankle/
0,It’s a baby girl for TV couple Karanvir Bohra and Teejay Sidhu!,https://www.canindia.com/its-a-baby-girl-for-tv-couple-karanvir-bohra-and-teejay-sidhu/
0,"Dhanush joins Chris Evans, Ryan Gosling in Netflix’s ‘The Gray Man’",https://www.canindia.com/dhanush-joins-chris-evans-ryan-gosling-in-netflixs-the-gray-man/
0,"Sidharth Malhotra, Diana Penty team up for romantic music video",https://www.canindia.com/sidharth-malhotra-diana-penty-team-up-for-romantic-music-video/
0,Vidyut Jammwal keen on meeting Kolkata fan who inked actor’s face on his chest,https://www.canindia.com/vidyut-jammwal-keen-on-meeting-kolkata-fan-who-inked-actors-face-on-his-chest/
0,Ayushmann Khurrana misses performing live on stage,https://www.canindia.com/ayushmann-khurrana-misses-performing-live-on-stage/
0,Tisca Chopra takes a sarcastic dig at China over Covid-19 pandemic,https://www.canindia.com/tisca-chopra-takes-a-sarcastic-dig-at-china-over-covid-19-pandemic/
